Player_Salary,Player,year_ID,Age,Tm,tm_gms,Tm_Net_Rtg,Pos,G,MP,MP_pct,PER,TS_pct,ThrPAr,FTr,ORB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS40,Composite_Rating,Wins_Generated
105000,Renee Montgomery,2018,31,ATL,34,2.9,G,34,935,68.8%,13.9,.576,.764,.244,0.5,3.4,21.1,2.4,0.2,15.1,16.6,1.6,1.5,3.1,.132,+1.1,2.86
113000,Jessica Breland,2018,30,ATL,34,2.9,F,34,899,66.1%,14.5,.454,.000,.152,7.1,16.6,12.4,2.2,5.7,15.6,17.7,-0.6,2.7,2.1,.094,+0.3,2.36
113000,Tiffany Hayes,2018,28,ATL,34,2.9,G,31,897,66.0%,19.9,.562,.327,.421,3.4,6.9,16.8,2.0,0.6,9.5,25.4,2.6,1.5,4.1,.183,+3.5,3.80
115000,Elizabeth Williams,2018,25,ATL,34,2.9,C-F,33,885,65.1%,16.1,.563,.000,.466,8.8,11.9,8.5,1.5,5.3,13.3,15.1,1.4,1.9,3.3,.150,+2.0,3.08
116000,Angel McCoughtry,2018,31,ATL,34,2.9,F-G,29,799,58.8%,19.1,.512,.188,.346,6.3,12.1,20.1,2.4,1.6,14.0,29.5,0.6,1.8,2.4,.121,+1.8,2.69
49000,Brittney Sykes,2018,24,ATL,34,2.9,G,29,600,44.1%,15.3,.503,.347,.415,3.3,9.4,19.4,0.8,2.4,10.3,22.5,0.7,1.0,1.7,.115,+0.9,1.78
42000,Monique Billings,2018,22,ATL,34,2.9,F,32,353,26.0%,12.4,.495,.000,.344,11.5,13.8,5.4,2.0,0.2,11.6,14.9,0.4,0.7,1.0,.117,+0.5,0.97
113000,Alex Bentley,2018,27,ATL,34,2.9,G,16,332,24.4%,10.2,.444,.389,.114,0.0,4.0,28.1,2.3,0.2,14.2,23.9,-0.4,0.5,0.1,.014,-2.6,0.41
92000,Layshia Clarendon,2018,27,ATL,34,2.9,G,18,311,22.9%,5.2,.423,.177,.380,3.5,6.6,15.0,1.1,0.0,20.7,16.2,-0.5,0.4,-0.1,-.009,-4.0,0.16
47000,Imani McGee-Stafford,2018,23,ATL,34,2.9,C,29,305,22.4%,12.3,.459,.000,.174,14.0,18.0,9.5,2.1,2.9,19.9,16.5,-0.2,0.8,0.6,.078,-0.5,0.68
60000,Damiris Dantas,2018,25,ATL,34,2.9,F,19,255,18.8%,12.2,.486,.216,.186,7.3,9.8,10.8,1.6,0.0,8.7,19.6,0.2,0.4,0.6,.094,-0.1,0.62
41000,Blake Dietrick,2018,24,ATL,34,2.9,G,26,186,13.7%,3.8,.491,.657,.171,1.2,4.2,8.7,1.9,0.0,24.2,11.6,-0.2,0.3,0.1,.014,-3.7,0.13
79582,Maggie Lucas,2018,26,ATL,34,2.9,G,7,36,2.6%,-11.3,.136,.909,.000,3.0,4.6,0.0,1.4,0.0,31.3,19.3,-0.4,0.0,-0.3,-.350,-15.8,-0.19
41000,Alexis Prince,2018,24,ATL,34,2.9,G,2,6,0.4%,44.3,.700,.200,.000,18.3,18.4,0.0,0.0,0.0,0.0,36.2,0.1,0.0,0.1,.404,+13.5,0.06
79582,Adaora Elonu,2018,28,ATL,34,2.9,,1,1,0.1%,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.017,-4.3,0.00
53000,Diamond DeShields,2018,23,CHI,34,-7.8,G,34,967,70.1%,15.7,.540,.312,.358,4.7,10.1,12.9,1.9,0.8,13.4,24.1,1.1,0.3,1.4,.059,-1.5,1.69
113000,Courtney Vandersloot,2018,29,CHI,34,-7.8,G,30,955,69.2%,18.5,.606,.406,.248,1.9,6.8,43.4,2.1,1.3,25.2,19.3,2.1,0.3,2.3,.098,+0.0,2.37
116000,Allie Quigley,2018,32,CHI,34,-7.8,G,32,951,68.9%,15.0,.586,.443,.160,1.3,4.7,14.9,1.2,0.8,13.6,22.8,1.3,-0.2,1.1,.046,-1.9,1.45
53000,Gabby Williams,2018,21,CHI,34,-7.8,G,34,781,56.6%,13.1,.482,.110,.195,6.6,10.9,11.3,3.6,0.8,12.9,16.8,0.2,0.7,0.9,.044,-2.3,1.04
113000,Stefanie Dolson,2018,26,CHI,34,-7.8,C,27,745,54.0%,12.4,.539,.227,.140,3.3,9.7,17.5,1.0,2.4,16.5,17.4,0.5,0.2,0.7,.036,-2.6,0.88
59000,Cheyenne Parker,2018,25,CHI,34,-7.8,F,34,670,48.6%,19.1,.587,.079,.448,10.9,17.1,6.0,1.4,4.1,14.3,22.4,1.3,0.6,1.9,.112,+0.5,1.81
53000,Kahleah Copper,2018,23,CHI,34,-7.8,F-G,33,524,38.0%,10.8,.514,.314,.275,4.0,8.1,6.3,1.0,0.9,12.3,22.2,0.0,-0.1,0.0,-.001,-3.9,0.30
53000,Alaina Coates,2018,23,CHI,34,-7.8,C,32,364,26.4%,12.7,.595,.000,.541,13.1,16.4,5.5,0.8,1.5,15.7,13.3,0.7,0.1,0.8,.090,-1.2,0.69
58000,Jamierra Faulkner,2018,26,CHI,34,-7.8,G,17,360,26.1%,8.4,.446,.470,.179,1.7,3.9,29.2,1.1,0.4,19.5,22.2,-0.5,-0.1,-0.6,-.067,-6.0,-0.17
56000,Astou Ndour,2018,23,CHI,34,-7.8,C,22,255,18.5%,14.7,.565,.282,.333,11.0,12.4,4.4,1.0,3.0,11.0,17.6,0.5,0.0,0.5,.084,-1.0,0.50
41000,Linnae Harper,2018,23,CHI,34,-7.8,G,24,146,10.6%,10.8,.467,.277,.213,3.3,7.2,25.9,1.7,0.5,16.3,18.8,0.0,0.0,0.0,.002,-3.8,0.09
90000,Alex Montgomery,2018,29,CHI,34,-7.8,G-F,19,122,8.8%,3.6,.361,.158,.211,6.0,8.6,10.2,0.8,0.6,19.4,9.4,-0.1,0.0,-0.1,-.039,-6.1,-0.06
71298,Chelsea Hopkins,2018,27,CHI,34,-7.8,G,4,58,4.2%,5.8,.543,.000,.167,0.0,13.1,19.3,1.7,0.0,52.1,10.3,-0.1,0.0,-0.1,-.061,-6.3,-0.04
71298,Amber Harris,2018,30,CHI,34,-7.8,F,1,2,0.1%,-9.3,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-.039,-8.4,0.00
106000,Jasmine Thomas,2018,28,CON,34,7.5,G,34,956,70.3%,14.9,.498,.368,.206,3.1,6.7,25.3,2.0,0.7,16.2,23.6,1.1,1.3,2.3,.097,+0.5,2.62
53000,Courtney Williams,2018,24,CON,34,7.5,G,30,812,59.7%,15.9,.491,.141,.067,6.4,12.7,17.6,1.4,0.2,12.3,23.4,0.8,1.2,2.0,.096,+0.6,2.29
118000,Chiney Ogwumike,2018,26,CON,34,7.5,F,31,790,58.1%,24.4,.650,.007,.404,12.2,16.7,6.5,2.2,2.0,12.9,21.6,3.4,1.6,5.0,.253,+6.2,4.39
113000,Alyssa Thomas,2018,26,CON,34,7.5,F,24,734,54.0%,15.3,.491,.005,.450,7.3,15.4,19.4,1.9,1.1,16.0,17.7,0.8,1.4,2.2,.120,+1.2,2.25
53000,Jonquel Jones,2018,24,CON,34,7.5,F,34,697,51.2%,24.3,.656,.395,.292,11.6,15.7,13.0,1.1,5.0,15.2,22.3,2.9,1.3,4.2,.243,+5.9,3.78
104000,Shekinna Stricklen,2018,27,CON,34,7.5,F-G,34,639,47.0%,11.7,.605,.754,.078,1.6,7.0,3.5,1.6,0.5,9.3,13.8,1.2,0.8,2.0,.125,+0.7,1.81
57000,Morgan Tuck,2018,24,CON,34,7.5,F,34,462,34.0%,14.3,.561,.373,.136,5.7,9.8,5.8,1.5,0.7,11.8,19.0,0.8,0.6,1.4,.120,+1.0,1.38
57000,Rachel Banham,2018,24,CON,34,7.5,G,33,424,31.2%,14.0,.578,.609,.286,1.6,4.0,15.9,1.8,0.6,10.7,17.1,1.3,0.5,1.7,.163,+2.1,1.49
113000,Alex Bentley,2018,27,CON,34,7.5,G,19,413,30.4%,14.1,.487,.379,.165,2.8,3.8,22.1,3.1,0.4,13.7,23.6,0.4,0.6,1.0,.094,+0.3,1.09
41000,Betnijah Laney,2018,24,CON,34,7.5,G-F,29,271,19.9%,11.9,.514,.129,.157,8.4,10.7,10.8,2.1,0.0,17.6,14.5,0.2,0.4,0.6,.092,-0.2,0.66
49000,Brionna Jones,2018,22,CON,34,7.5,C,27,242,17.8%,11.6,.535,.000,.516,11.3,12.7,3.5,1.3,2.1,16.9,16.9,0.3,0.3,0.6,.098,-0.1,0.60
92000,Layshia Clarendon,2018,27,CON,34,7.5,G,15,238,17.5%,15.0,.554,.095,.365,3.3,5.9,24.2,1.7,0.0,16.1,15.8,0.6,0.3,0.8,.142,+1.7,0.79
43000,Lexie Brown,2018,23,CON,34,7.5,G,22,124,9.1%,5.6,.393,.659,.159,0.9,8.0,13.0,2.4,0.7,17.5,19.9,-0.3,0.2,-0.1,-.024,-4.3,0.05
116000,Skylar Diggins-Smith,2018,27,DAL,34,1.6,G,32,1092,80.3%,19.0,.531,.373,.390,2.3,5.7,30.8,2.1,1.2,13.0,24.4,3.1,0.8,3.9,.142,+1.9,3.76
41000,Kayla Thornton,2018,25,DAL,34,1.6,F,34,971,71.4%,12.6,.567,.475,.196,5.3,8.2,9.9,1.8,1.0,11.8,13.9,1.9,0.7,2.6,.106,-0.1,2.36
